0,1
False	13	151.921875	0.0,b'70\r\n'
False	0	160.546875	0.0,b'70\r\n'
False	0	161.875	0.0,b'70\r\n'
False	0	163.25	0.0,b'70\r\n'
False	0	164.59375	0.0,b'70\r\n'
False	0	165.921875	0.0,b'70\r\n'
False	0	167.265625	0.0,b'70\r\n'
False	0	168.609375	0.0,b'70\r\n'
False	15	162.78125	0.0,b'70\r\n'
False	15	164.09375	1764.0,b'70\r\n'
False	15	165.515625	0.0,b'70\r\n'
False	15	166.84375	1628.5,b'70\r\n'
False	15	168.15625	1627.5,b'70\r\n'
False	15	169.515625	1628.5,b'72\r\n'
False	15	170.875	1628.0,b'72\r\n'
False	15	172.234375	1632.5,b'72\r\n'
False	15	173.53125	1636.25,b'72\r\n'
False	15	174.828125	1640.75,b'72\r\n'
False	14	176.15625	1647.5,b'72\r\n'
False	11	177.515625	1653.25,b'72\r\n'
False	0	186.109375	0.0,b'72\r\n'
False	0	187.453125	0.0,b'72\r\n'
False	0	188.796875	0.0,b'72\r\n'
False	0	190.140625	0.0,b'72\r\n'
False	0	191.484375	0.0,b'72\r\n'
False	0	192.8125	0.0,b'72\r\n'
False	0	194.15625	0.0,b'72\r\n'
False	10	188.34375	0.0,b'72\r\n'
False	15	189.6875	1745.5,b'74\r\n'
False	15	190.984375	1763.75,b'74\r\n'
False	15	192.390625	1783.0,b'74\r\n'
False	15	193.6875	1803.0,b'74\r\n'
False	11	195.03125	1822.75,b'74\r\n'
False	0	203.578125	0.0,b'74\r\n'
False	0	204.921875	0.0,b'74\r\n'
False	0	206.265625	0.0,b'74\r\n'
False	14	200.5	0.0,b'74\r\n'
False	10	201.84375	0.0,b'74\r\n'
False	0	210.328125	0.0,b'74\r\n'
False	0	211.671875	0.0,b'74\r\n'
False	12	206.3125	0.0,b'74\r\n'
False	0	214.359375	0.0,b'74\r\n'
False	0	215.703125	0.0,b'74\r\n'
False	0	217.046875	0.0,b'76\r\n'
False	0	218.390625	0.0,b'76\r\n'
